source,target,frequency,traj_ids
130,0,4,"[42, 149, 174, 998]"
0,131,9,"[45, 97, 147, 162, 178, 805, 824, 996, 1048]"
131,132,2,"[45, 97]"
132,223,4,"[45, 97, 178, 824]"
223,133,6,"[45, 97, 162, 178, 824, 996]"
133,134,8,"[45, 97, 147, 162, 178, 805, 824, 996]"
134,0,8,"[45, 97, 147, 162, 178, 805, 824, 996]"
0,135,6,"[47, 506, 850, 915, 1070, 1098]"
135,136,5,"[47, 506, 915, 1070, 1098]"
136,37,5,"[47, 506, 915, 1070, 1098]"
37,36,7,"[47, 506, 837, 850, 915, 1070, 1098]"
36,631,1,[47]
631,34,1,[47]
34,33,3,"[47, 506, 1098]"
33,604,3,"[47, 506, 1098]"
604,137,3,"[47, 506, 1098]"
137,32,3,"[47, 506, 1098]"
32,137,3,"[47, 506, 1098]"
137,33,1,[47]
136,138,5,"[47, 587, 603, 832, 838]"
138,0,5,"[47, 587, 603, 832, 838]"
445,139,4,"[50, 116, 916, 1081]"
139,140,2,"[50, 916]"
140,269,5,"[50, 118, 853, 916, 1081]"
269,256,1,[50]
256,141,2,"[50, 297]"
141,142,5,"[50, 116, 118, 297, 405]"
142,143,12,"[50, 116, 118, 297, 303, 309, 312, 315, 321, 853, 916, 1081]"
143,144,9,"[50, 116, 118, 297, 309, 312, 315, 916, 1081]"
144,145,10,"[50, 116, 118, 297, 309, 312, 315, 405, 916, 1081]"
145,146,15,"[50, 105, 116, 297, 309, 312, 315, 321, 405, 504, 813, 853, 866, 916, 1081]"
146,147,14,"[50, 105, 116, 297, 312, 315, 321, 405, 504, 813, 853, 866, 916, 1081]"
147,148,13,"[50, 105, 116, 297, 312, 315, 321, 504, 813, 853, 866, 916, 1081]"
148,149,13,"[50, 105, 116, 297, 309, 312, 315, 321, 504, 813, 853, 916, 1081]"
149,150,12,"[50, 105, 116, 297, 309, 312, 315, 321, 504, 853, 916, 1081]"
150,151,12,"[50, 116, 118, 297, 309, 312, 315, 405, 504, 813, 866, 916]"
151,152,12,"[50, 116, 118, 297, 309, 312, 315, 405, 504, 813, 866, 916]"
152,153,7,"[50, 105, 116, 303, 321, 853, 1081]"
153,0,7,"[50, 105, 116, 303, 321, 853, 1081]"
0,154,5,"[51, 166, 394, 446, 1067]"
154,0,5,"[51, 166, 394, 446, 1067]"
0,313,5,"[55, 56, 157, 240, 925]"
313,0,4,"[55, 56, 240, 925]"
0,155,2,"[57, 720]"
155,0,1,[57]
0,156,2,"[57, 372]"
156,155,2,"[57, 372]"
155,573,2,"[57, 720]"
573,157,3,"[57, 107, 720]"
157,0,1,[57]
0,158,1,[57]
158,0,2,"[57, 107]"
0,159,24,"[60, 66, 75, 97, 127, 149, 174, 257, 260, 281, 390, 525, 589, 598, 636, 637, 720, 761, 765, 828, 910, 919, 1000, 1083]"
159,160,21,"[60, 66, 127, 149, 174, 257, 260, 281, 390, 525, 589, 598, 636, 720, 761, 765, 828, 910, 919, 1000, 1083]"
160,0,22,"[60, 66, 127, 149, 174, 257, 260, 281, 390, 525, 589, 598, 636, 720, 761, 765, 766, 828, 910, 919, 1000, 1083]"
0,161,1,[63]
161,0,2,"[63, 415]"
0,162,7,"[66, 149, 197, 240, 804, 873, 1054]"
162,163,7,"[66, 149, 197, 240, 804, 873, 1054]"
163,164,9,"[66, 149, 197, 240, 804, 844, 857, 873, 1054]"
164,353,3,"[66, 240, 844]"
353,165,3,"[66, 240, 844]"
165,166,6,"[66, 240, 804, 844, 857, 1054]"
166,167,6,"[66, 240, 804, 844, 857, 1054]"
