SN,SG,k
"[6, 5, 0]","[[1, 20]]",3
"[5, 0, 17]","[[1, 20]]",3
"[0, 17, 12]","[[1, 20]]",3
"[6, 5, 0, 17]","[[1, 20]]",4
"[5, 0, 17, 12]","[[1, 20]]",4
"[6, 5, 0, 17, 12]","[[1, 20]]",5
"[0, 2, 3]","[[1, 22]]",3
"[6, 18]","[[1, 23]]",2
"[0, 19]","[[1, 25], [96, 105]]",2
"[3, 0, 19]","[[1, 25]]",3
"[0, 19, 2]","[[1, 25]]",3
"[2, 3, 0, 19]","[[1, 25]]",4
"[3, 0, 19, 2]","[[1, 25]]",4
"[2, 3, 0, 19, 2]","[[1, 25]]",5
"[1, 20]","[[1, 26]]",2
"[20, 4]","[[1, 26], [38, 32], [52, 49], [52, 68], [71, 57], [96, 85], [96, 94], [104, 66], [104, 85], [147, 68], [174, 12], [179, 10], [179, 62]]",2
"[2, 1, 20]","[[1, 26]]",3
"[1, 20, 4]","[[1, 26]]",3
"[20, 4, 6]","[[1, 26], [38, 32]]",3
"[2, 1, 20, 4]","[[1, 26]]",4
"[1, 20, 4, 6]","[[1, 26]]",4
"[20, 4, 6, 0]","[[1, 26]]",4
"[2, 1, 20, 4, 6]","[[1, 26]]",5
"[1, 20, 4, 6, 0]","[[1, 26]]",5
"[2, 1, 20, 4, 6, 0]","[[1, 26]]",6
"[1, 4]","[[1, 27], [24, 74]]",2
"[4, 21]","[[1, 27], [38, 7], [38, 28], [38, 33], [38, 35], [38, 37], [38, 74], [38, 77], [44, 67], [52, 57], [104, 59], [104, 100], [174, 6]]",2
"[21, 20]","[[1, 27], [38, 55], [38, 69], [38, 70]]",2
"[2, 1, 4]","[[1, 27]]",3
"[1, 4, 21]","[[1, 27]]",3
"[4, 21, 20]","[[1, 27]]",3
"[2, 1, 4, 21]","[[1, 27]]",4
"[1, 4, 21, 20]","[[1, 27]]",4
"[2, 1, 4, 21, 20]","[[1, 27]]",5
"[1, 0]","[[1, 28], [1, 31], [1, 37], [1, 59], [1, 63], [1, 69], [35, 32], [35, 54]]",2
"[2, 1, 0]","[[1, 28], [1, 31], [1, 59], [1, 63], [1, 69]]",3
"[0, 163]","[[1, 30]]",2
