SN,SG,k
"[20, 115, 40, 0]","[[35, 65]]",4
"[0, 83, 0, 115]","[[35, 65]]",4
"[116, 20, 115, 40, 0]","[[35, 65]]",5
"[20, 115, 40, 0, 83]","[[35, 65]]",5
"[115, 40, 0, 83, 0]","[[35, 65]]",5
"[40, 0, 83, 0, 115]","[[35, 65]]",5
"[116, 20, 115, 40, 0, 83]","[[35, 65]]",6
"[20, 115, 40, 0, 83, 0]","[[35, 65]]",6
"[115, 40, 0, 83, 0, 115]","[[35, 65]]",6
"[116, 20, 115, 40, 0, 83, 0]","[[35, 65]]",7
"[20, 115, 40, 0, 83, 0, 115]","[[35, 65]]",7
"[116, 20, 115, 40, 0, 83, 0, 115]","[[35, 65]]",8
"[8, 115]","[[35, 67]]",2
"[116, 8, 115]","[[35, 67]]",3
"[8, 115, 0]","[[35, 67]]",3
"[116, 8, 115, 0]","[[35, 67]]",4
"[8, 115, 0, 40]","[[35, 67]]",4
"[116, 8, 115, 0, 40]","[[35, 67]]",5
"[8, 115, 0, 40, 83]","[[35, 67]]",5
"[116, 8, 115, 0, 40, 83]","[[35, 67]]",6
"[8, 115, 0, 40, 83, 0]","[[35, 67]]",6
"[116, 8, 115, 0, 40, 83, 0]","[[35, 67]]",7
"[115, 6]","[[35, 69]]",2
"[116, 115, 6]","[[35, 69]]",3
"[115, 6, 83]","[[35, 69]]",3
"[116, 115, 6, 83]","[[35, 69]]",4
"[115, 6, 83, 0]","[[35, 69]]",4
"[116, 115, 6, 83, 0]","[[35, 69]]",5
"[115, 6, 83, 0, 115]","[[35, 69]]",5
"[116, 115, 6, 83, 0, 115]","[[35, 69]]",6
"[115, 6, 83, 0, 115, 0]","[[35, 69]]",6
"[6, 83, 0, 115, 0, 117]","[[35, 69]]",6
"[116, 115, 6, 83, 0, 115, 0]","[[35, 69]]",7
"[115, 6, 83, 0, 115, 0, 117]","[[35, 69]]",7
"[116, 115, 6, 83, 0, 115, 0, 117]","[[35, 69]]",8
"[116, 115, 40, 18]","[[35, 70]]",4
"[116, 115, 40, 18, 83]","[[35, 70]]",5
"[116, 115, 40, 18, 83, 0]","[[35, 70]]",6
"[116, 115, 40, 18, 83, 0, 115]","[[35, 70]]",7
"[116, 115, 40, 18, 83, 0, 115, 0]","[[35, 70]]",8
"[116, 115, 40, 18, 83, 0, 115, 0, 116]","[[35, 70]]",9
"[115, 1]","[[35, 71]]",2
"[0, 115, 1]","[[35, 71]]",3
"[115, 1, 116]","[[35, 71]]",3
"[1, 116, 115]","[[35, 71]]",3
"[6, 83, 4]","[[35, 71]]",3
"[0, 115, 0, 115]","[[35, 71]]",4
"[115, 0, 115, 1]","[[35, 71]]",4
"[0, 115, 1, 116]","[[35, 71]]",4
"[115, 1, 116, 115]","[[35, 71]]",4
"[1, 116, 115, 40]","[[35, 71]]",4
"[40, 6, 83, 4]","[[35, 71]]",4
"[6, 83, 4, 0]","[[35, 71]]",4
"[83, 0, 115, 0, 115]","[[35, 71]]",5
"[0, 115, 0, 115, 1]","[[35, 71]]",5
"[115, 0, 115, 1, 116]","[[35, 71]]",5
"[0, 115, 1, 116, 115]","[[35, 71]]",5
"[115, 1, 116, 115, 40]","[[35, 71]]",5
"[1, 116, 115, 40, 6]","[[35, 71]]",5
"[115, 40, 6, 83, 4]","[[35, 71]]",5
"[40, 6, 83, 4, 0]","[[35, 71]]",5
"[6, 83, 4, 0, 115]","[[35, 71]]",5
"[115, 83, 0, 115, 0, 115]","[[35, 71]]",6
"[83, 0, 115, 0, 115, 1]","[[35, 71]]",6
"[0, 115, 0, 115, 1, 116]","[[35, 71]]",6
"[115, 0, 115, 1, 116, 115]","[[35, 71]]",6
"[0, 115, 1, 116, 115, 40]","[[35, 71]]",6
"[115, 1, 116, 115, 40, 6]","[[35, 71]]",6
"[1, 116, 115, 40, 6, 83]","[[35, 71]]",6
"[116, 115, 40, 6, 83, 4]","[[35, 71]]",6
"[115, 40, 6, 83, 4, 0]","[[35, 71]]",6
"[40, 6, 83, 4, 0, 115]","[[35, 71]]",6
"[1, 115, 83, 0, 115, 0, 115]","[[35, 71]]",7
"[115, 83, 0, 115, 0, 115, 1]","[[35, 71]]",7
"[83, 0, 115, 0, 115, 1, 116]","[[35, 71]]",7
"[0, 115, 0, 115, 1, 116, 115]","[[35, 71]]",7
"[115, 0, 115, 1, 116, 115, 40]","[[35, 71]]",7
"[0, 115, 1, 116, 115, 40, 6]","[[35, 71]]",7
"[115, 1, 116, 115, 40, 6, 83]","[[35, 71]]",7
"[1, 116, 115, 40, 6, 83, 4]","[[35, 71]]",7
"[116, 115, 40, 6, 83, 4, 0]","[[35, 71]]",7
"[115, 40, 6, 83, 4, 0, 115]","[[35, 71]]",7
"[1, 115, 83, 0, 115, 0, 115, 1]","[[35, 71]]",8
"[115, 83, 0, 115, 0, 115, 1, 116]","[[35, 71]]",8
"[83, 0, 115, 0, 115, 1, 116, 115]","[[35, 71]]",8
"[0, 115, 0, 115, 1, 116, 115, 40]","[[35, 71]]",8
"[115, 0, 115, 1, 116, 115, 40, 6]","[[35, 71]]",8
"[0, 115, 1, 116, 115, 40, 6, 83]","[[35, 71]]",8
"[115, 1, 116, 115, 40, 6, 83, 4]","[[35, 71]]",8
"[1, 116, 115, 40, 6, 83, 4, 0]","[[35, 71]]",8
"[116, 115, 40, 6, 83, 4, 0, 115]","[[35, 71]]",8
"[1, 115, 83, 0, 115, 0, 115, 1, 116]","[[35, 71]]",9
"[115, 83, 0, 115, 0, 115, 1, 116, 115]","[[35, 71]]",9
"[83, 0, 115, 0, 115, 1, 116, 115, 40]","[[35, 71]]",9
"[0, 115, 0, 115, 1, 116, 115, 40, 6]","[[35, 71]]",9
"[115, 0, 115, 1, 116, 115, 40, 6, 83]","[[35, 71]]",9
"[0, 115, 1, 116, 115, 40, 6, 83, 4]","[[35, 71]]",9
"[115, 1, 116, 115, 40, 6, 83, 4, 0]","[[35, 71]]",9
"[1, 116, 115, 40, 6, 83, 4, 0, 115]","[[35, 71]]",9
"[1, 115, 83, 0, 115, 0, 115, 1, 116, 115]","[[35, 71]]",10
"[115, 83, 0, 115, 0, 115, 1, 116, 115, 40]","[[35, 71]]",10
"[83, 0, 115, 0, 115, 1, 116, 115, 40, 6]","[[35, 71]]",10
"[0, 115, 0, 115, 1, 116, 115, 40, 6, 83]","[[35, 71]]",10
"[115, 0, 115, 1, 116, 115, 40, 6, 83, 4]","[[35, 71]]",10
"[0, 115, 1, 116, 115, 40, 6, 83, 4, 0]","[[35, 71]]",10
"[115, 1, 116, 115, 40, 6, 83, 4, 0, 115]","[[35, 71]]",10
"[1, 115, 83, 0, 115, 0, 115, 1, 116, 115, 40]","[[35, 71]]",11
"[115, 83, 0, 115, 0, 115, 1, 116, 115, 40, 6]","[[35, 71]]",11
"[83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83]","[[35, 71]]",11
"[0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4]","[[35, 71]]",11
"[115, 0, 115, 1, 116, 115, 40, 6, 83, 4, 0]","[[35, 71]]",11
"[0, 115, 1, 116, 115, 40, 6, 83, 4, 0, 115]","[[35, 71]]",11
"[1, 115, 83, 0, 115, 0, 115, 1, 116, 115, 40, 6]","[[35, 71]]",12
"[115, 83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83]","[[35, 71]]",12
"[83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4]","[[35, 71]]",12
"[0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4, 0]","[[35, 71]]",12
"[115, 0, 115, 1, 116, 115, 40, 6, 83, 4, 0, 115]","[[35, 71]]",12
"[1, 115, 83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83]","[[35, 71]]",13
"[115, 83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4]","[[35, 71]]",13
"[83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4, 0]","[[35, 71]]",13
"[0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4, 0, 115]","[[35, 71]]",13
"[1, 115, 83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4]","[[35, 71]]",14
"[115, 83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4, 0]","[[35, 71]]",14
"[83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4, 0, 115]","[[35, 71]]",14
"[1, 115, 83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4, 0]","[[35, 71]]",15
"[115, 83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4, 0, 115]","[[35, 71]]",15
"[1, 115, 83, 0, 115, 0, 115, 1, 116, 115, 40, 6, 83, 4, 0, 115]","[[35, 71]]",16
"[4, 115, 0]","[[35, 74]]",3
"[116, 4, 115, 0]","[[35, 74]]",4
"[4, 115, 0, 40]","[[35, 74]]",4
"[116, 4, 115, 0, 40]","[[35, 74]]",5
"[4, 115, 0, 40, 83]","[[35, 74]]",5
"[116, 4, 115, 0, 40, 83]","[[35, 74]]",6
"[4, 115, 0, 40, 83, 0]","[[35, 74]]",6
"[116, 4, 115, 0, 40, 83, 0]","[[35, 74]]",7
"[134, 0]","[[36, 7], [36, 28], [36, 44], [44, 21], [71, 58]]",2
"[135, 136]","[[36, 9]]",2
"[30, 0, 4]","[[36, 14], [36, 44]]",3
"[0, 4, 0]","[[36, 14], [44, 72], [91, 19]]",3
"[30, 0, 30, 0]","[[36, 14], [36, 49], [36, 63]]",4
"[0, 30, 0, 4]","[[36, 14]]",4
"[30, 0, 4, 0]","[[36, 14]]",4
"[0, 30, 0, 30, 0]","[[36, 14], [36, 49]]",5
"[30, 0, 30, 0, 4]","[[36, 14]]",5
"[0, 30, 0, 4, 0]","[[36, 14]]",5
"[0, 30, 0, 30, 0, 4]","[[36, 14]]",6
"[30, 0, 30, 0, 4, 0]","[[36, 14]]",6
"[0, 30, 0, 30, 0, 4, 0]","[[36, 14]]",7
"[0, 137]","[[36, 19]]",2
"[137, 27]","[[36, 19]]",2
"[27, 148]","[[36, 19]]",2
"[148, 0]","[[36, 19]]",2
"[0, 137, 27]","[[36, 19]]",3
"[137, 27, 148]","[[36, 19]]",3
"[27, 148, 0]","[[36, 19]]",3
"[0, 137, 27, 148]","[[36, 19]]",4
"[137, 27, 148, 0]","[[36, 19]]",4
"[0, 137, 27, 148, 0]","[[36, 19]]",5
"[40, 30]","[[36, 21]]",2
"[30, 27]","[[36, 21]]",2
"[27, 137]","[[36, 21]]",2
"[137, 0]","[[36, 21]]",2
"[0, 40, 30]","[[36, 21]]",3
"[40, 30, 27]","[[36, 21]]",3
"[30, 27, 137]","[[36, 21]]",3
"[27, 137, 0]","[[36, 21]]",3
"[0, 40, 30, 27]","[[36, 21]]",4
"[40, 30, 27, 137]","[[36, 21]]",4
"[30, 27, 137, 0]","[[36, 21]]",4
"[0, 40, 30, 27, 137]","[[36, 21]]",5
"[40, 30, 27, 137, 0]","[[36, 21]]",5
"[0, 40, 30, 27, 137, 0]","[[36, 21]]",6
"[223, 0]","[[36, 28], [71, 58]]",2
"[61, 134]","[[36, 28]]",2
"[223, 0, 61]","[[36, 28]]",3
"[0, 61, 134]","[[36, 28]]",3
"[61, 134, 0]","[[36, 28]]",3
"[223, 0, 61, 134]","[[36, 28]]",4
"[0, 61, 134, 0]","[[36, 28]]",4
"[223, 0, 61, 134, 0]","[[36, 28]]",5
"[30, 0, 18]","[[36, 31]]",3
"[0, 30, 0, 18]","[[36, 31]]",4
"[30, 0, 18, 6]","[[36, 31]]",4
"[0, 30, 0, 18, 6]","[[36, 31]]",5
"[30, 0, 18, 6, 0]","[[36, 31]]",5
"[0, 30, 0, 18, 6, 0]","[[36, 31]]",6
"[30, 69]","[[36, 39], [36, 44]]",2
"[0, 30, 69]","[[36, 39], [36, 44]]",3
"[30, 0, 30, 69]","[[36, 39]]",4
"[50, 4]","[[36, 41], [52, 57]]",2
"[4, 138]","[[36, 41], [38, 36]]",2
"[138, 20]","[[36, 41], [38, 36], [52, 1], [52, 22]]",2
"[20, 139]","[[36, 41]]",2
"[139, 30]","[[36, 41]]",2
"[30, 0, 50]","[[36, 41]]",3
"[0, 50, 4]","[[36, 41]]",3
"[50, 4, 138]","[[36, 41]]",3
"[4, 138, 20]","[[36, 41], [38, 36]]",3
"[138, 20, 139]","[[36, 41]]",3
"[20, 139, 30]","[[36, 41]]",3
"[139, 30, 0]","[[36, 41]]",3
"[0, 30, 0, 50]","[[36, 41]]",4
"[30, 0, 50, 4]","[[36, 41]]",4
"[0, 50, 4, 138]","[[36, 41]]",4
"[50, 4, 138, 20]","[[36, 41]]",4
"[4, 138, 20, 139]","[[36, 41]]",4
"[138, 20, 139, 30]","[[36, 41]]",4
"[20, 139, 30, 0]","[[36, 41]]",4
"[0, 30, 0, 50, 4]","[[36, 41]]",5
"[30, 0, 50, 4, 138]","[[36, 41]]",5
"[0, 50, 4, 138, 20]","[[36, 41]]",5
"[50, 4, 138, 20, 139]","[[36, 41]]",5
"[4, 138, 20, 139, 30]","[[36, 41]]",5
"[138, 20, 139, 30, 0]","[[36, 41]]",5
"[0, 30, 0, 50, 4, 138]","[[36, 41]]",6
"[30, 0, 50, 4, 138, 20]","[[36, 41]]",6
"[0, 50, 4, 138, 20, 139]","[[36, 41]]",6
"[50, 4, 138, 20, 139, 30]","[[36, 41]]",6
"[4, 138, 20, 139, 30, 0]","[[36, 41]]",6
"[0, 30, 0, 50, 4, 138, 20]","[[36, 41]]",7
"[30, 0, 50, 4, 138, 20, 139]","[[36, 41]]",7
"[0, 50, 4, 138, 20, 139, 30]","[[36, 41]]",7
"[50, 4, 138, 20, 139, 30, 0]","[[36, 41]]",7
"[0, 30, 0, 50, 4, 138, 20, 139]","[[36, 41]]",8
"[30, 0, 50, 4, 138, 20, 139, 30]","[[36, 41]]",8
"[0, 50, 4, 138, 20, 139, 30, 0]","[[36, 41]]",8
"[0, 30, 0, 50, 4, 138, 20, 139, 30]","[[36, 41]]",9
"[30, 0, 50, 4, 138, 20, 139, 30, 0]","[[36, 41]]",9
"[0, 30, 0, 50, 4, 138, 20, 139, 30, 0]","[[36, 41]]",10
"[69, 30]","[[36, 44]]",2
"[134, 0, 30]","[[36, 44]]",3
"[30, 69, 30]","[[36, 44]]",3
"[69, 30, 69]","[[36, 44]]",3
"[69, 30, 0]","[[36, 44]]",3
"[134, 0, 30, 69]","[[36, 44]]",4
"[0, 30, 69, 30]","[[36, 44]]",4
"[30, 69, 30, 69]","[[36, 44]]",4
"[69, 30, 69, 30]","[[36, 44]]",4
"[30, 69, 30, 0]","[[36, 44]]",4
"[69, 30, 0, 4]","[[36, 44]]",4
"[134, 0, 30, 69, 30]","[[36, 44]]",5
"[0, 30, 69, 30, 69]","[[36, 44]]",5
"[30, 69, 30, 69, 30]","[[36, 44]]",5
"[69, 30, 69, 30, 0]","[[36, 44]]",5
"[30, 69, 30, 0, 4]","[[36, 44]]",5
"[134, 0, 30, 69, 30, 69]","[[36, 44]]",6
"[0, 30, 69, 30, 69, 30]","[[36, 44]]",6
"[30, 69, 30, 69, 30, 0]","[[36, 44]]",6
"[69, 30, 69, 30, 0, 4]","[[36, 44]]",6
"[134, 0, 30, 69, 30, 69, 30]","[[36, 44]]",7
"[0, 30, 69, 30, 69, 30, 0]","[[36, 44]]",7
"[30, 69, 30, 69, 30, 0, 4]","[[36, 44]]",7
"[134, 0, 30, 69, 30, 69, 30, 0]","[[36, 44]]",8
"[0, 30, 69, 30, 69, 30, 0, 4]","[[36, 44]]",8
"[134, 0, 30, 69, 30, 69, 30, 0, 4]","[[36, 44]]",9
"[30, 61]","[[36, 46]]",2
"[0, 30, 61]","[[36, 46]]",3
"[30, 61, 0]","[[36, 46]]",3
"[30, 0, 30, 61]","[[36, 46]]",4
"[0, 30, 61, 0]","[[36, 46]]",4
"[0, 30, 0, 30, 61]","[[36, 46]]",5
"[30, 0, 30, 61, 0]","[[36, 46]]",5
"[0, 30, 0, 30, 61, 0]","[[36, 46]]",6
"[30, 140]","[[36, 47]]",2
"[140, 0]","[[36, 47]]",2
"[30, 140, 0]","[[36, 47]]",3
"[30, 21]","[[36, 48]]",2
"[4, 41]","[[36, 48], [52, 97], [104, 11], [104, 28], [104, 34], [104, 56], [104, 57], [104, 73], [104, 83], [104, 91], [104, 93], [104, 100]]",2
"[30, 21, 4]","[[36, 48]]",3
"[21, 4, 41]","[[36, 48]]",3
"[4, 41, 4]","[[36, 48]]",3
"[30, 21, 4, 41]","[[36, 48]]",4
"[21, 4, 41, 4]","[[36, 48]]",4
"[4, 41, 4, 0]","[[36, 48]]",4
"[30, 21, 4, 41, 4]","[[36, 48]]",5
"[21, 4, 41, 4, 0]","[[36, 48]]",5
"[30, 21, 4, 41, 4, 0]","[[36, 48]]",6
"[30, 141]","[[36, 49]]",2
"[141, 25]","[[36, 49], [52, 60], [52, 61], [52, 70]]",2
"[25, 30]","[[36, 49], [52, 18], [52, 29], [52, 30], [52, 40], [52, 54], [52, 56], [78, 53], [147, 8], [147, 14], [147, 19], [147, 35], [147, 46], [147, 56], [147, 57], [147, 60], [147, 66], [147, 79]]",2
"[30, 141, 25]","[[36, 49]]",3
"[141, 25, 30]","[[36, 49]]",3
"[25, 30, 0]","[[36, 49], [147, 19]]",3
"[30, 141, 25, 30]","[[36, 49]]",4
"[141, 25, 30, 0]","[[36, 49]]",4
"[25, 30, 0, 30]","[[36, 49]]",4
"[30, 141, 25, 30, 0]","[[36, 49]]",5
"[141, 25, 30, 0, 30]","[[36, 49]]",5
"[25, 30, 0, 30, 0]","[[36, 49]]",5
"[30, 0, 30, 0, 30]","[[36, 49]]",5
"[30, 141, 25, 30, 0, 30]","[[36, 49]]",6
"[141, 25, 30, 0, 30, 0]","[[36, 49]]",6
"[25, 30, 0, 30, 0, 30]","[[36, 49]]",6
"[30, 0, 30, 0, 30, 0]","[[36, 49]]",6
"[30, 141, 25, 30, 0, 30, 0]","[[36, 49]]",7
"[141, 25, 30, 0, 30, 0, 30]","[[36, 49]]",7
"[25, 30, 0, 30, 0, 30, 0]","[[36, 49]]",7
"[30, 141, 25, 30, 0, 30, 0, 30]","[[36, 49]]",8
"[141, 25, 30, 0, 30, 0, 30, 0]","[[36, 49]]",8
"[30, 141, 25, 30, 0, 30, 0, 30, 0]","[[36, 49]]",9
"[9, 0]","[[36, 52]]",2
"[0, 47]","[[36, 60], [44, 4]]",2
"[47, 0]","[[36, 60], [44, 12]]",2
"[30, 0, 47]","[[36, 60]]",3
"[0, 47, 0]","[[36, 60]]",3
"[47, 0, 30]","[[36, 60]]",3
"[30, 0, 47, 0]","[[36, 60]]",4
"[0, 47, 0, 30]","[[36, 60]]",4
"[30, 0, 47, 0, 30]","[[36, 60]]",5
"[26, 30]","[[36, 63]]",2
"[23, 26, 30]","[[36, 63]]",3
"[26, 30, 0]","[[36, 63]]",3
"[23, 26, 30, 0]","[[36, 63]]",4
"[26, 30, 0, 30]","[[36, 63]]",4
"[23, 26, 30, 0, 30]","[[36, 63]]",5
"[26, 30, 0, 30, 0]","[[36, 63]]",5
"[23, 26, 30, 0, 30, 0]","[[36, 63]]",6
"[143, 147]","[[36, 68], [36, 70], [36, 71]]",2
"[147, 53]","[[36, 68], [36, 72]]",2
"[53, 144]","[[36, 68]]",2
"[144, 143]","[[36, 68]]",2
"[143, 145]","[[36, 68]]",2
"[145, 146]","[[36, 68], [36, 71], [36, 72]]",2
"[143, 147, 53]","[[36, 68]]",3
"[147, 53, 144]","[[36, 68]]",3
"[53, 144, 143]","[[36, 68]]",3
"[144, 143, 145]","[[36, 68]]",3
"[143, 145, 146]","[[36, 68]]",3
"[143, 147, 53, 144]","[[36, 68]]",4
"[147, 53, 144, 143]","[[36, 68]]",4
"[53, 144, 143, 145]","[[36, 68]]",4
"[144, 143, 145, 146]","[[36, 68]]",4
"[143, 147, 53, 144, 143]","[[36, 68]]",5
"[147, 53, 144, 143, 145]","[[36, 68]]",5
"[53, 144, 143, 145, 146]","[[36, 68]]",5
"[143, 147, 53, 144, 143, 145]","[[36, 68]]",6
"[147, 53, 144, 143, 145, 146]","[[36, 68]]",6
"[143, 147, 53, 144, 143, 145, 146]","[[36, 68]]",7
"[145, 6]","[[36, 69]]",2
"[21, 144]","[[36, 69], [38, 97], [38, 104], [44, 68]]",2
"[144, 188]","[[36, 69]]",2
"[188, 149]","[[36, 69]]",2
"[149, 146]","[[36, 69]]",2
"[145, 6, 21]","[[36, 69]]",3
"[6, 21, 144]","[[36, 69]]",3
"[21, 144, 188]","[[36, 69]]",3
"[144, 188, 149]","[[36, 69]]",3
"[188, 149, 146]","[[36, 69]]",3
"[145, 6, 21, 144]","[[36, 69]]",4
"[6, 21, 144, 188]","[[36, 69]]",4
"[21, 144, 188, 149]","[[36, 69]]",4
"[144, 188, 149, 146]","[[36, 69]]",4
"[145, 6, 21, 144, 188]","[[36, 69]]",5
"[6, 21, 144, 188, 149]","[[36, 69]]",5
"[21, 144, 188, 149, 146]","[[36, 69]]",5
"[145, 6, 21, 144, 188, 149]","[[36, 69]]",6
"[6, 21, 144, 188, 149, 146]","[[36, 69]]",6
"[145, 6, 21, 144, 188, 149, 146]","[[36, 69]]",7
"[146, 143]","[[36, 70], [36, 71]]",2
"[147, 143]","[[36, 70]]",2
"[143, 188]","[[36, 70]]",2
"[146, 143, 147]","[[36, 70], [36, 71]]",3
"[143, 147, 143]","[[36, 70]]",3
"[147, 143, 188]","[[36, 70]]",3
"[146, 143, 147, 143]","[[36, 70]]",4
"[143, 147, 143, 188]","[[36, 70]]",4
"[146, 143, 147, 143, 188]","[[36, 70]]",5
"[147, 148]","[[36, 71]]",2
"[148, 144]","[[36, 71]]",2
"[144, 149]","[[36, 71]]",2
"[149, 145]","[[36, 71], [36, 72]]",2
"[143, 147, 148]","[[36, 71]]",3
"[147, 148, 144]","[[36, 71]]",3
"[148, 144, 149]","[[36, 71]]",3
"[144, 149, 145]","[[36, 71]]",3
"[149, 145, 146]","[[36, 71], [36, 72]]",3
"[146, 143, 147, 148]","[[36, 71]]",4
"[143, 147, 148, 144]","[[36, 71]]",4
"[147, 148, 144, 149]","[[36, 71]]",4
"[148, 144, 149, 145]","[[36, 71]]",4
"[144, 149, 145, 146]","[[36, 71]]",4
"[146, 143, 147, 148, 144]","[[36, 71]]",5
"[143, 147, 148, 144, 149]","[[36, 71]]",5
"[147, 148, 144, 149, 145]","[[36, 71]]",5
"[148, 144, 149, 145, 146]","[[36, 71]]",5
"[146, 143, 147, 148, 144, 149]","[[36, 71]]",6
"[143, 147, 148, 144, 149, 145]","[[36, 71]]",6
"[147, 148, 144, 149, 145, 146]","[[36, 71]]",6
"[146, 143, 147, 148, 144, 149, 145]","[[36, 71]]",7
"[143, 147, 148, 144, 149, 145, 146]","[[36, 71]]",7
"[146, 143, 147, 148, 144, 149, 145, 146]","[[36, 71]]",8
"[146, 149]","[[36, 72]]",2
"[149, 147]","[[36, 72]]",2
"[53, 149]","[[36, 72]]",2
"[146, 145]","[[36, 72]]",2
"[145, 149]","[[36, 72]]",2
"[146, 149, 147]","[[36, 72]]",3
"[149, 147, 53]","[[36, 72]]",3
"[147, 53, 149]","[[36, 72]]",3
"[53, 149, 145]","[[36, 72]]",3
"[145, 146, 145]","[[36, 72]]",3
"[146, 145, 149]","[[36, 72]]",3
"[145, 149, 147]","[[36, 72]]",3
"[146, 149, 147, 53]","[[36, 72]]",4
"[149, 147, 53, 149]","[[36, 72]]",4
"[147, 53, 149, 145]","[[36, 72]]",4
"[53, 149, 145, 146]","[[36, 72]]",4
"[149, 145, 146, 145]","[[36, 72]]",4
"[145, 146, 145, 149]","[[36, 72]]",4
"[146, 145, 149, 147]","[[36, 72]]",4
"[146, 149, 147, 53, 149]","[[36, 72]]",5
"[149, 147, 53, 149, 145]","[[36, 72]]",5
"[147, 53, 149, 145, 146]","[[36, 72]]",5
"[53, 149, 145, 146, 145]","[[36, 72]]",5
"[149, 145, 146, 145, 149]","[[36, 72]]",5
"[145, 146, 145, 149, 147]","[[36, 72]]",5
"[146, 149, 147, 53, 149, 145]","[[36, 72]]",6
"[149, 147, 53, 149, 145, 146]","[[36, 72]]",6
"[147, 53, 149, 145, 146, 145]","[[36, 72]]",6
"[53, 149, 145, 146, 145, 149]","[[36, 72]]",6
"[149, 145, 146, 145, 149, 147]","[[36, 72]]",6
"[146, 149, 147, 53, 149, 145, 146]","[[36, 72]]",7
"[149, 147, 53, 149, 145, 146, 145]","[[36, 72]]",7
"[147, 53, 149, 145, 146, 145, 149]","[[36, 72]]",7
"[53, 149, 145, 146, 145, 149, 147]","[[36, 72]]",7
"[146, 149, 147, 53, 149, 145, 146, 145]","[[36, 72]]",8
"[149, 147, 53, 149, 145, 146, 145, 149]","[[36, 72]]",8
"[147, 53, 149, 145, 146, 145, 149, 147]","[[36, 72]]",8
"[146, 149, 147, 53, 149, 145, 146, 145, 149]","[[36, 72]]",9
"[149, 147, 53, 149, 145, 146, 145, 149, 147]","[[36, 72]]",9
"[146, 149, 147, 53, 149, 145, 146, 145, 149, 147]","[[36, 72]]",10
"[99, 10]","[[38, 1], [44, 20]]",2
"[0, 99, 10]","[[38, 1], [44, 20]]",3
"[150, 164]","[[38, 2], [44, 64]]",2
"[164, 0]","[[38, 2], [44, 64], [82, 63], [82, 70], [82, 89], [91, 37], [91, 39], [91, 63], [91, 71], [91, 73], [96, 49], [96, 59], [96, 100], [96, 103], [179, 4], [179, 17], [179, 27], [179, 32], [179, 40], [179, 42], [179, 54], [179, 67]]",2
"[150, 164, 0]","[[38, 2], [44, 64]]",3
"[21, 151]","[[38, 5], [38, 27], [38, 31], [38, 38], [38, 58], [38, 88], [38, 94]]",2
"[151, 78]","[[38, 5]]",2
"[21, 151, 78]","[[38, 5]]",3
"[151, 78, 21]","[[38, 5]]",3
"[21, 151, 78, 21]","[[38, 5]]",4
"[21, 41]","[[38, 7], [38, 19], [38, 38], [104, 100]]",2
"[41, 152]","[[38, 7]]",2
"[152, 21]","[[38, 7]]",2
"[21, 6]","[[38, 7], [38, 16], [38, 24], [38, 28], [38, 30], [38, 32], [38, 33], [38, 37], [38, 77], [38, 85], [44, 67], [44, 69], [174, 11], [174, 32], [174, 50]]",2
"[6, 4]","[[38, 7], [38, 30], [38, 32], [38, 33], [38, 37], [38, 77], [44, 20], [52, 18], [52, 29], [67, 58], [96, 106], [104, 6], [104, 7], [104, 14], [104, 19], [104, 28], [104, 57], [104, 102], [174, 34], [174, 63], [179, 71]]",2
"[21, 153]","[[38, 7], [174, 65]]",2
"[153, 21]","[[38, 7], [174, 24], [174, 65]]",2
"[21, 41, 152]","[[38, 7]]",3
"[41, 152, 21]","[[38, 7]]",3
"[152, 21, 6]","[[38, 7]]",3
"[21, 6, 4]","[[38, 7], [38, 30], [38, 32], [38, 33], [38, 37], [38, 77]]",3
"[6, 4, 21]","[[38, 7], [38, 33], [38, 37], [38, 77]]",3
"[4, 21, 153]","[[38, 7]]",3
"[21, 153, 21]","[[38, 7], [174, 65]]",3
"[21, 41, 152, 21]","[[38, 7]]",4
"[41, 152, 21, 6]","[[38, 7]]",4
"[152, 21, 6, 4]","[[38, 7]]",4
"[21, 6, 4, 21]","[[38, 7], [38, 33], [38, 37], [38, 77]]",4
"[6, 4, 21, 153]","[[38, 7]]",4
"[4, 21, 153, 21]","[[38, 7]]",4
"[21, 41, 152, 21, 6]","[[38, 7]]",5
"[41, 152, 21, 6, 4]","[[38, 7]]",5
"[152, 21, 6, 4, 21]","[[38, 7]]",5
"[21, 6, 4, 21, 153]","[[38, 7]]",5
"[6, 4, 21, 153, 21]","[[38, 7]]",5
"[21, 41, 152, 21, 6, 4]","[[38, 7]]",6
